"State","CMS_Cert_Num","Provider_Name","Address","City","Zip","Phone","Type_of_Ownership","Date_Certified"
"AL","17000","BUREAU OF HOME & COMMUNITY SERVICES","201 MONROE STREET, THE RSA TOWER,  SUITE 1200","MONTGOMERY","36104","3342065341","State/County","1966-07-01 00:00:00"
"AL","17008","JEFFERSON COUNTY HOME CARE","2201 ARLINGTON AVENUE","BESSEMER","35020","2059169500","State/County","1972-10-01 00:00:00"
"AL","17009","ALACARE HOME HEALTH & HOSPICE","2970 LORNA ROAD","BIRMINGHAM","35216","2058242680","Proprietary","1973-01-18 00:00:00"
"AL","17013","GENTIVA HEALTH SERVICES","557 GLOVER STREET, SUITE 5","ENTERPRISE","36330","3343470234","Proprietary","1975-07-24 00:00:00"
"AL","17014","AMEDISYS HOME HEALTH OF BLOUNTSVILLE","1106 2ND AVENUE E, SUITE E","ONEONTA","35121","2052744919","Proprietary","1975-09-04 00:00:00"
"AL","17016","SOUTHEAST ALABAMA HOMECARE","804 GLOVER AVENUE","ENTERPRISE","36330","3347940591","Proprietary","1976-06-09 00:00:00"
"AL","17017","SOUTHERN RURAL HEALTH CARE","508 ST CLAIR STREET SE","RUSSELLVILLE","35653","2563321631","Private","1977-03-26 00:00:00"
"AL","17018","GENTIVA HEALTH SERVICES","3225 RAINBOW STREET, SUITE 256","RAINBOW CITY","35906","2564421138","Proprietary","1977-01-01 00:00:00"
"AL","17020","AMEDISYS HOME HEALTH CARE","273 AZALEA ROAD, SUITE 104, BLDG 2","MOBILE","36609","2513800492","Proprietary","1977-05-23 00:00:00"
"AL","17024","SOUTHEAST ALABAMA HOMECARE","810 HEDSTROM DRIVE, SUITE ONE","DOTHAN","36301","3347940591","Proprietary","1978-06-01 00:00:00"
"AL","17025","SAAD HEALTHCARE","1515 UNIVERSITY BLVD, SOUTH","MOBILE","36609","2513439600","Proprietary","1978-12-28 00:00:00"
"AL","17026","GENTIVA HEALTH SERVICES","2200 RIVERCHASE PARKWAY, BUILDING 700","BIRMINGHAM","35244","2057397800","Proprietary","1979-03-29 00:00:00"
"AL","17027","HGA HOMECARE OF DECATUR","2708 HIGHWAY 31 SOUTH, SUITE B","DECATUR","35603","2563504182","Proprietary","1979-07-25 00:00:00"
"AL","17028","CARETENDERS","345 WALKER CHAPEL PLAZA","FULTONDALE","35068","2057837900","Proprietary","1979-06-01 00:00:00"
"AL","17034","MERCY MEDICAL HOME HEALTH","101 B VILLA DRIVE","DAPHNE","36526","2516214431","Religious Affiliations","1981-05-26 00:00:00"
"AL","17035","INFIRMARY HOMECARE OF MOBILE","4358 MIDMOST DRIVE, SUITE A","MOBILE","36609","2514503300","Proprietary","1981-08-20 00:00:00"
"AL","17037","BAPTIST HOME HEALTH","300 INTERSTATE PARK DRIVE, SUITE 312","MONTGOMERY","36109","3343955100","Proprietary","1981-10-01 00:00:00"
"AL","17039","AMEDISYS HOME HEALTH OF HUNTSVILLE","7047 OLD MADISON PIKE, SUITE 305","HUNTSVILLE","35806","2569229919","Proprietary","1982-08-05 00:00:00"
"AL","17041","BAPTIST HEALTH SYSTEM HOMECARE","100 CENTERVIEW DRIVE, SUITE 260","BIRMINGHAM","35216","2059793180","Proprietary","1982-08-04 00:00:00"
"AL","17048","GENTIVA HEALTH SERVICES","101 NORTH LINCOLN STREET","GENEVA","36340","3346843919","Proprietary","1983-12-08 00:00:00"
"AL","17050","SPECTRUM HOME HEALTH AGENCY","1310 PULASKI PIKE, UNIT A","HUNTSVILLE","35816","2565394457","Proprietary","1983-10-19 00:00:00"
"AL","17051","AMEDISYS HOME HEALTH LAKESHORE OF BIRMINGHAM","2204 LAKESHORE DRIVE, SUITE 110","HOMEWOOD","35209","2058680147","Proprietary","1984-06-01 00:00:00"
"AL","17052","GENTIVA HEALTH SERVICES","1390 NORTH MCKENZIE STREET","FOLEY","36535","2519433002","Proprietary","1984-09-20 00:00:00"
"AL","17053","CARESOUTH HOMECARE PROFESSIONALS","3700 ROSS CLARK CIRCLE, SUITE 1","DOTHAN","36303","3347935758","Proprietary","1984-08-20 00:00:00"
"AL","17054","GENTIVA HEALTH SERVICES","1108 EAST PARK DRIVE","BIRMINGHAM","35235","2058360777","Proprietary","1984-09-04 00:00:00"
"AL","17055","GENTIVA HEALTH SERVICES","1294-A EAST MAIN STREET","PRATTVILLE","36066","3343619806","Proprietary","1984-06-08 00:00:00"
"AL","17056","GENTIVA HEALTH SERVICES","11123 CHANTILLY PARKWAY, UNIT L","PIKE ROAD","36064","3342701151","Proprietary","1984-12-03 00:00:00"
