"CMS_Cert_Number","Offers Nursing Care Services","Offers Physical Therapy Services","Offers Occupational Therapy Services","Test","Offers Home Health Aide Services"
"17000","Yes","Yes","Yes","Yes","Yes"
"17008","Yes","Yes","Yes","Yes","Yes"
"17009","Yes","Yes","Yes","Yes","Yes"
"17013","Yes","Yes","Yes","No","Yes"
"17014","Yes","Yes","Yes","Yes","No"
"17016","Yes","Yes","Yes","Yes","Yes"
"17017","Yes","Yes","Yes","Yes","Yes"
"17018","Yes","Yes","Yes","Yes","Yes"
"17020","Yes","Yes","Yes","Yes","Yes"
"17024","Yes","Yes","Yes","Yes","Yes"
"17025","Yes","Yes","Yes","Yes","Yes"
"17026","Yes","Yes","Yes","Yes","Yes"
"17027","Yes","Yes","Yes","Yes","Yes"
"17028","Yes","Yes","Yes","Yes","Yes"
"17034","Yes","Yes","Yes","Yes","Yes"
"17035","Yes","Yes","Yes","Yes","Yes"
"17037","Yes","Yes","Yes","Yes","Yes"
"17039","Yes","Yes","Yes","Yes","Yes"
"17041","Yes","Yes","Yes","Yes","Yes"
"17048","Yes","Yes","Yes","No","Yes"
"17050","Yes","Yes","Yes","Yes","Yes"
"17051","Yes","Yes","Yes","Yes","Yes"
"17052","Yes","Yes","Yes","Yes","Yes"
"17053","Yes","Yes","Yes","Yes","Yes"
"17054","Yes","Yes","Yes","Yes","Yes"
"17055","Yes","Yes","Yes","Yes","Yes"
"17056","Yes","Yes","Yes","Yes","Yes"
"17058","Yes","Yes","Yes","Yes","Yes"
"17063","Yes","Yes","Yes","Yes","Yes"
"17066","Yes","Yes","Yes","Yes","Yes"
"17067","Yes","Yes","Yes","Yes","Yes"
"17069","Yes","Yes","Yes","Yes","Yes"
"17070","Yes","Yes","Yes","Yes","Yes"
"17071","Yes","Yes","Yes","Yes","Yes"
"17072","Yes","Yes","No","No","Yes"
"17078","Yes","Yes","Yes","No","Yes"
"17079","Yes","Yes","No","No","Yes"
"17080","Yes","Yes","Yes","Yes","Yes"
"17082","Yes","Yes","No","No","Yes"
"17083","Yes","Yes","Yes","Yes","Yes"
"17084","Yes","Yes","Yes","Yes","Yes"
"17085","Yes","Yes","Yes","Yes","Yes"
"17086","Yes","Yes","Yes","Yes","Yes"
"17088","Yes","Yes","No","Yes","Yes"
"17089","Yes","Yes","Yes","Yes","Yes"
"17090","Yes","Yes","No","No","Yes"
"17091","Yes","Yes","Yes","No","Yes"
"17092","Yes","Yes","No","No","Yes"
"17093","Yes","Yes","Yes","Yes","Yes"
"17094","Yes","Yes","Yes","Yes","Yes"
"17095","Yes","Yes","Yes","Yes","Yes"
"17096","Yes","Yes","No","No","Yes"
"17097","Yes","Yes","Yes","Yes","Yes"
"17100","Yes","Yes","Yes","Yes","Yes"
"17101","Yes","Yes","Yes","No","Yes"
"17102","Yes","Yes","Yes","No","Yes"
"17103","Yes","Yes","Yes","No","Yes"
"17104","Yes","Yes","Yes","No","Yes"
"17106","Yes","Yes","No","No","Yes"
"17107","Yes","Yes","Yes","Yes","Yes"
"17109","Yes","Yes","No","No","Yes"
"17112","Yes","Yes","No","No","Yes"
"17115","Yes","Yes","Yes","Yes","Yes"
"17116","Yes","Yes","Yes","No","Yes"
"17117","Yes","Yes","Yes","No","Yes"
"17118","Yes","Yes","Yes","Yes","Yes"
"17119","Yes","Yes","Yes","Yes","Yes"
"17121","Yes","Yes","Yes","No","Yes"
"17123","Yes","Yes","Yes","Yes","Yes"
"17124","Yes","Yes","No","Yes","Yes"
"17125","Yes","Yes","Yes","Yes","Yes"
"17127","Yes","Yes","Yes","Yes","Yes"
"17128","Yes","Yes","Yes","Yes","Yes"
"17129","Yes","Yes","Yes","Yes","Yes"
"17130","Yes","Yes","Yes","Yes","Yes"
"17132","Yes","Yes","Yes","Yes","Yes"
"17134","Yes","Yes","Yes","Yes","Yes"
"17135","Yes","Yes","No","Yes","Yes"
"17136","Yes","Yes","No","Yes","Yes"
"17138","Yes","Yes","No","Yes","Yes"
"17139","Yes","Yes","No","No","Yes"
"17140","Yes","Yes","No","No","Yes"
"17141","Yes","Yes","Yes","No","Yes"
"17142","Yes","Yes","No","No","Yes"
"17143","Yes","Yes","Yes","Yes","Yes"
"17145","Yes","Yes","Yes","Yes","Yes"
"17146","Yes","Yes","No","No","Yes"
"17147","Yes","Yes","Yes","No","Yes"
"17148","Yes","Yes","Yes","Yes","Yes"
"17149","Yes","Yes","Yes","Yes","Yes"
"17151","Yes","Yes","Yes","Yes","Yes"
"17152","Yes","Yes","Yes","Yes","Yes"
"17153","Yes","Yes","Yes","Yes","Yes"
"17154","Yes","Yes","Yes","Yes","Yes"
"17155","Yes","Yes","Yes","Yes","Yes"
"17156","Yes","Yes","Yes","Yes","Yes"
"17157","Yes","Yes","Yes","Yes","Yes"
"17158","Yes","Yes","Yes","Yes","Yes"
"17159","Yes","Yes","No","Yes","Yes"
"17160","Yes","Yes","Yes","No","Yes"
"17161","Yes","Yes","Yes","Yes","Yes"
"17163","Yes","Yes","No","Yes","Yes"
"17164","Yes","Yes","Yes","No","Yes"
"17165","Yes","Yes","Yes","Yes","Yes"
"17166","Yes","Yes","Yes","Yes","Yes"
"17167","Yes","Yes","Yes","Yes","Yes"
"17168","Yes","Yes","Yes","Yes","Yes"
"17169","Yes","Yes","Yes","Yes","Yes"
"17170","Yes","Yes","Yes","Yes","Yes"
"17171","Yes","Yes","Yes","Yes","Yes"
"17172","Yes","Yes","Yes","Yes","Yes"
"17174","Yes","Yes","Yes","Yes","Yes"
"17300","Yes","Yes","Yes","Yes","Yes"
"17305","Yes","Yes","Yes","Yes","Yes"
"17307","Yes","Yes","Yes","Yes","Yes"
"17319","Yes","Yes","Yes","Yes","Yes"
"17320","Yes","Yes","Yes","No","Yes"
"17323","Yes","Yes","Yes","No","Yes"
"17324","Yes","Yes","Yes","Yes","Yes"
"17326","Yes","Yes","Yes","Yes","Yes"
"17327","Yes","Yes","Yes","Yes","Yes"
"17328","Yes","Yes","Yes","Yes","Yes"
"17801","Yes","Yes","No","Yes","Yes"
"17803","Yes","Yes","No","Yes","Yes"
"17812","Yes","Yes","No","Yes","Yes"
"17816","Yes","Yes","No","Yes","Yes"
"17817","Yes","Yes","Yes","Yes","Yes"
"17818","Yes","Yes","No","Yes","Yes"
"17824","Yes","Yes","No","Yes","Yes"
"17825","Yes","Yes","Yes","Yes","Yes"
"17828","Yes","Yes","Yes","Yes","Yes"
"17831","Yes","Yes","No","Yes","Yes"
"17835","Yes","Yes","No","Yes","Yes"
"17836","Yes","Yes","Yes","Yes","Yes"
"17847","Yes","Yes","Yes","Yes","Yes"
"17848","Yes","Yes","Yes","Yes","Yes"
"17850","Yes","Yes","No","No","Yes"
"17851","Yes","Yes","Yes","Yes","Yes"
"17855","Yes","Yes","No","Yes","Yes"
"17856","Yes","Yes","Yes","Yes","Yes"
"17857","Yes","Yes","Yes","No","Yes"
"17861","Yes","Yes","Yes","Yes","Yes"
"17863","Yes","Yes","No","Yes","Yes"
"17865","Yes","No","No","Yes","Yes"
"17867","Yes","Yes","No","Yes","Yes"
"17872","Yes","Yes","No","Yes","Yes"
"17873","Yes","Yes","Yes","Yes","Yes"
"17874","Yes","Yes","Yes","Yes","Yes"
"17875","Yes","Yes","Yes","Yes","Yes"
"17876","Yes","Yes","No","Yes","Yes"
"27001","Yes","Yes","Yes","Yes","Yes"
"27002","Yes","Yes","Yes","Yes","Yes"
"27006","Yes","Yes","Yes","Yes","Yes"
"27007","Yes","Yes","Yes","No","No"
"27008","Yes","Yes","Yes","Yes","Yes"
"27009","Yes","Yes","Yes","No","Yes"
"27010","Yes","Yes","Yes","Yes","Yes"
"27014","Yes","Yes","Yes","Yes","Yes"
"27020","Yes","Yes","No","Yes","Yes"
"27021","Yes","Yes","Yes","Yes","Yes"
"27022","Yes","Yes","Yes","No","No"
"27024","Yes","Yes","No","Yes","Yes"
"27032","Yes","Yes","Yes","Yes","Yes"
"37011","Yes","Yes","Yes","Yes","Yes"
"37015","Yes","Yes","Yes","Yes","Yes"
"37016","Yes","Yes","Yes","Yes","Yes"
"37020","Yes","Yes","Yes","Yes","Yes"
"37024","Yes","Yes","Yes","Yes","Yes"
"37027","Yes","Yes","Yes","Yes","Yes"
"37028","Yes","Yes","Yes","Yes","No"
"37030","Yes","Yes","Yes","Yes","Yes"
"37036","Yes","Yes","Yes","Yes","Yes"
"37037","Yes","Yes","Yes","Yes","Yes"
"37042","Yes","Yes","Yes","Yes","Yes"
"37047","Yes","Yes","Yes","Yes","Yes"
"37050","Yes","Yes","Yes","Yes","Yes"
"37052","Yes","Yes","Yes","Yes","Yes"
"37057","Yes","Yes","Yes","Yes","Yes"
"37068","Yes","Yes","Yes","Yes","Yes"
"37070","Yes","Yes","Yes","Yes","Yes"
