"CMS_Cert_Num","Question_1","Question_2","Question_3","Question_4","Question_5","Question_6","Question_7","Question_8","Question_9","Question_10","Question_11","Question_12","Question_13","Question_14","Question_15","Question_16","Question_17","Question_18","Question_19"
"17801","96","96","83","97","70","58","100","100","100","95","100","55","44","46","56","48","34","12","20"
"17803","91","95","83","96","53","44","98","96","93","89","100","56","56","54","67","54","32","9","19"
"17812","99","84","80","100","56","51","98","95","95","95","100","54","43","51","44","36","34","10","13"
"17816","100","97","98","100","58","63","100","96","99","100","100","80","67","92","77","62","72","16","24"
"17817","96","96","91","100","51","50","98","98","100","96","100","66","67","76","71","74","50","16","22"
"17818","97","99","56","96","46","25","99","100","97","98","100","54","56","38","57","54","24","13","17"
"17824","83","92","22","92","72","72","99","99","98","99","98","57","55","62","61","55","52","16","14"
"17825","89","79","81","92","58","41","97","99","98","100","99","56","45","57","50","40","37","12","10"
"17828","98","99","85","100","84","70","97","99","100","95","99","75","57","62","62","63","52","14","19"
"17831","90","92","82","98","63","65","97","97","96","95","100","56","39","46","55","47","38","19","17"
"17835","97","98","88","100","52","68","97","100","93","96","100","58","65","60","37","47","35","11","22"
"17836","99","93","95","100","65","75","100","100","100","100","100","79","68","91","72","74","73","14","19"
"17847","94","93","77","100","67","74","100","99","100","94","100","56","52","66","57","60","44","7","19"
"17848","96","94","87","99","54","61","100","99","99","93","100","66","73","73","83","79","45","15","16"
"17850","100","85","89","99","62","46","100","81","77","94","100","41","31","39","49","41","20","10","20"
"17851","98","95","93","100","51","53","98","99","98","89","100","57","53","47","32","52","32","16","15"
"17855","94","86","72","96","60","59","99","96","96","98","100","57","56","58","53","44","41","18","18"
"17857","90","98","70","100","55","55","99","100","100","99","100","47","46","59","71","57","29","14","17"
"17861","93","99","90","100","74","66","100","100","100","100","100","72","66","72","69","72","68","14","21"
"17863","91","96","92","100","69","66","100","89","93","91","99","66","57","78","66","56","64","4","33"
"17865","99","98","99","100","73","79","100","100","99","100","100","74","67","86","73","70","66","9","19"
"17867","94","98","89","98","66","51","100","98","99","100","100","68","70","79","75","70","70","15","14"
"17872","95","89","48","100","65","75","97","100","100","95","100","61","58","59","33","51","34","16","12"
"17873","94","95","70","100","67","71","99","100","99","97","99","68","66","73","71","63","55","13","14"
